         431300 function calls (425198 primitive calls) in 2.660 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.004    0.000    0.239    0.001 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\group_by.py:748(sum)
      240    0.003    0.000    0.019    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:551(drive)
       80    0.003    0.000    0.061    0.001 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:4168(filter)
      240    0.003    0.000    0.003    0.000 {built-in method _warnings.warn}
       40    0.003    0.000    0.906    0.023 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\stratinv\events\StratInv.py:10(stratInv)
      160    0.003    0.000    0.017    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:184(__eq__)
      200    0.003    0.000    0.008    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:1919(cast)
     3638    0.003    0.000    0.003    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pstats.py:531(compare)
     1148    0.003    0.000    0.005    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:968(acquire)
     2160    0.003    0.000    0.003    0.000 {built-in method sys.intern}
     4120    0.003    0.000    0.014    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:667(columns)
      400    0.003    0.000    0.008    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\whenthen.py:85(otherwise)
     2901    0.003    0.000    0.003    0.000 {built-in method builtins.print}
      574    0.003    0.000    0.011    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:674(formatMessage)
     2981    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
       80    0.003    0.000    0.006    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\selectors.py:160(_expand_selectors)
     5093    0.003    0.000    0.003    0.000 {built-in method builtins.len}
      480    0.003    0.000    0.004    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:358(__init__)
      574    0.003    0.000    0.005    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:668(usesTime)
      287    0.003    0.000    0.007    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:257(splitext)
      574    0.003    0.000    0.023    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:622(formatTime)
      574    0.003    0.000    0.008    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:462(format)
      240    0.003    0.000    0.016    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:407(_load_parts)
      240    0.003    0.000    0.015    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:172(__radd__)
     1928    0.002    0.000    0.002    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pstats.py:604(f8)
        1    0.002    0.002    0.019    0.019 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pstats.py:412(print_stats)
      287    0.002    0.000    0.081    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1266(emit)
      200    0.002    0.000    0.041    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\lazyframe\frame.py:3177(group_by)
      240    0.002    0.000    0.089    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\deprecation.py:33(issue_deprecation_warning)
      574    0.002    0.000    0.002    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:383(getMessage)
      400    0.002    0.000    0.022    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\parse_expr_input.py:192(parse_when_inputs)
     1148    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.RLock' objects}
     1148    0.002    0.000    0.003    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:975(release)
       40    0.002    0.000    0.757    0.019 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\passif\events\PerfPassifEp.py:12(perfPassifEp)
