cd_choc_s2_gse,maturite,intraperiod,pzc
CENTRAL,126,End,0.017711790322475385
CENTRAL,127,End,0.017132692049833212
CENTRAL,128,End,0.01655167606075227
CENTRAL,129,End,0.016009733766660126
CENTRAL,130,End,0.015465752957647934
CENTRAL,131,End,0.014958642632006912
CENTRAL,132,End,0.014449397431723006
CENTRAL,133,End,0.01397493645438773
CENTRAL,134,End,0.013515793288072168
CENTRAL,135,End,0.013054404843650122
CENTRAL,136,End,0.012624894698059358
CENTRAL,137,End,0.012209279794718825
CENTRAL,138,End,0.011791351099314682
CENTRAL,139,End,0.01140262501780726
CENTRAL,140,End,0.01102650068582245
CENTRAL,141,End,0.010648028992381004
CENTRAL,142,End,0.010296297484933615
CENTRAL,143,End,0.00995599188991165
CENTRAL,144,End,0.009626747522935094
CENTRAL,145,End,0.009308211124485244
CENTRAL,146,End,0.00898732668305255
CENTRAL,147,End,0.008689527541388267
CENTRAL,148,End,0.008401433532631356
CENTRAL,149,End,0.008122733858310588
CENTRAL,150,End,0.007853127490582585
