scenario,period,evenement,cd_choc_s2,cd_choc_s2_gse,cd_trajectoire,dt_trajectoire,cd_societe,cd_canton,cd_classe_actif,cd_classe_actif_detail,cd_isin,mt_vm,mt_vc,tx_action_t1,tx_action_t2,tx_action_strat,mt_pdd,mt_vm_av,mt_vc_av,mt_pfi,mt_cf,mt_fuite_eco,mt_fuite_vc
1,18,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,8624162.973959403,5192249.999999996,1.0,0.0,0.0,0.0,8463789.741411291,5192249.999999996,0.0,0.0,0.0,0.0
1,18,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5749441.982639603,2445624.9999999986,0.0,0.0,0.0,0.0,5642526.494274195,2445624.9999999986,0.0,0.0,0.0,0.0
1,18,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,8624162.973959403,5192249.999999996,1.0,0.0,0.0,0.0,8624162.973959403,5192249.999999996,0.0,0.0,0.0,0.0
1,18,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5749441.982639603,2445624.9999999986,0.0,0.0,0.0,0.0,5749441.982639603,2445624.9999999986,0.0,0.0,0.0,0.0
1,19,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,8785907.638445443,5192249.999999996,1.0,0.0,0.0,0.0,8624162.973959403,5192249.999999996,0.0,0.0,-3.725290298461914e-9,0.0
1,19,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5857271.758963631,2445624.9999999986,0.0,0.0,0.0,0.0,5749441.982639603,2445624.9999999986,0.0,0.0,-9.313225746154785e-10,0.0
1,19,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,8785907.638445444,5192249.999999996,1.0,0.0,0.0,0.0,8785907.638445443,5192249.999999996,0.0,-1.862645149230957e-9,0.0,0.0
1,19,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5857271.75896363,2445624.999999998,0.0,0.0,0.0,0.0,5857271.758963631,2445624.9999999986,0.0,9.313225746154785e-10,0.0,0.0
1,20,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,8959012.169253401,5192249.999999996,1.0,0.0,0.0,0.0,8785907.638445444,5192249.999999996,0.0,0.0,0.0,0.0
1,20,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5972674.779502268,2445624.999999998,0.0,0.0,0.0,0.0,5857271.75896363,2445624.999999998,0.0,0.0,0.0,0.0
1,20,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,8959012.169253401,5192249.999999996,1.0,0.0,0.0,0.0,8959012.169253401,5192249.999999996,0.0,0.0,0.0,0.0
1,20,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5972674.779502269,2445624.999999997,0.0,0.0,0.0,0.0,5972674.779502268,2445624.999999998,0.0,-9.313225746154785e-10,0.0,0.0
1,21,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,9150451.544282641,5192249.999999996,1.0,0.0,0.0,0.0,8959012.169253401,5192249.999999996,0.0,0.0,0.0,0.0
1,21,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,6100301.029521762,2445624.999999997,0.0,0.0,0.0,0.0,5972674.779502269,2445624.999999997,0.0,0.0,0.0,0.0
1,21,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,9150451.544282643,5192249.999999996,1.0,0.0,0.0,0.0,9150451.544282641,5192249.999999996,0.0,-1.862645149230957e-9,0.0,0.0
1,21,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,6100301.029521762,2445624.999999997,0.0,0.0,0.0,0.0,6100301.029521762,2445624.999999997,0.0,0.0,0.0,0.0
1,22,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,9360536.599798312,5192249.999999996,1.0,0.0,0.0,0.0,9150451.544282643,5192249.999999996,0.0,0.0,0.0,0.0
1,22,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,6240357.733198876,2445624.999999997,0.0,0.0,0.0,0.0,6100301.029521762,2445624.999999997,0.0,0.0,0.0,0.0
1,22,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,9360536.599798312,5192249.999999996,1.0,0.0,0.0,0.0,9360536.599798312,5192249.999999996,0.0,0.0,0.0,0.0
1,22,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,6240357.733198876,2445624.999999997,0.0,0.0,0.0,0.0,6240357.733198876,2445624.999999997,0.0,0.0,0.0,0.0
1,23,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,9588873.261234066,5192249.999999996,1.0,0.0,0.0,0.0,9360536.599798312,5192249.999999996,0.0,0.0,0.0,0.0
1,23,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,6392582.174156045,2445624.999999997,0.0,0.0,0.0,0.0,6240357.733198876,2445624.999999997,0.0,0.0,0.0,0.0
1,23,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,9588873.261234066,5192249.999999996,1.0,0.0,0.0,0.0,9588873.261234066,5192249.999999996,0.0,0.0,0.0,0.0
1,23,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,6392582.174156045,2445624.999999997,0.0,0.0,0.0,0.0,6392582.174156045,2445624.999999997,0.0,0.0,0.0,0.0
1,24,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,9834261.800769746,5192249.999999996,1.0,0.0,0.0,0.0,9588873.261234066,5192249.999999996,0.0,0.0,0.0,0.0
1,24,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,6556174.5338464985,2445624.999999997,0.0,0.0,0.0,0.0,6392582.174156045,2445624.999999997,0.0,0.0,0.0,0.0
1,24,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,9834261.800769746,5192249.999999996,1.0,0.0,0.0,0.0,9834261.800769746,5192249.999999996,0.0,0.0,0.0,0.0
1,24,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,6556174.533846498,2445624.9999999967,0.0,0.0,0.0,0.0,6556174.5338464985,2445624.999999997,0.0,9.313225746154785e-10,0.0,0.0
1,25,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,10094575.859584251,5192249.999999996,1.0,0.0,0.0,0.0,9834261.800769746,5192249.999999996,0.0,0.0,0.0,0.0
