cd_choc_s2_gse,maturite,intraperiod,pzc,scenario,period
CENTRAL,103,End,0.038644729672488935,1,0
CENTRAL,103,Mid,0.039318132218145285,1,0
CENTRAL,104,Beg,0.038644729672488935,1,0
CENTRAL,104,End,0.03736779451515642,1,0
CENTRAL,104,Mid,0.03800089890378035,1,0
CENTRAL,105,Beg,0.03736779451515642,1,0
CENTRAL,105,End,0.036131654120295564,1,0
CENTRAL,105,Mid,0.03674452648572178,1,0
CENTRAL,106,Beg,0.036131654120295564,1,0
CENTRAL,106,End,0.03493505315450981,1,0
CENTRAL,106,Mid,0.03552831627382431,1,0
CENTRAL,107,Beg,0.03493505315450981,1,0
CENTRAL,107,End,0.03374177690294247,1,0
CENTRAL,107,Mid,0.034333231272804875,1,0
CENTRAL,108,Beg,0.03374177690294247,1,0
CENTRAL,108,End,0.032621482112943356,1,0
CENTRAL,108,Mid,0.033176901176846865,1,0
CENTRAL,109,Beg,0.032621482112943356,1,0
CENTRAL,109,End,0.03153716248227,1,0
CENTRAL,109,Mid,0.03207474055714807,1,0
CENTRAL,110,Beg,0.03153716248227,1,0
CENTRAL,110,End,0.030487704805963214,1,0
CENTRAL,110,Mid,0.031007994133402855,1,0
CENTRAL,111,Beg,0.030487704805963214,1,0
CENTRAL,111,End,0.029472028917526476,1,0
CENTRAL,111,Mid,0.029975565343632115,1,0
CENTRAL,112,Beg,0.029472028917526476,1,0
CENTRAL,112,End,0.028489086754196154,1,0
CENTRAL,112,Mid,0.028976390193631598,1,0
CENTRAL,113,Beg,0.028489086754196154,1,0
CENTRAL,113,End,0.027537861447223033,1,0
CENTRAL,113,Mid,0.02800943633483135,1,0
CENTRAL,114,Beg,0.027537861447223033,1,0
CENTRAL,114,End,0.02661736643651924,1,0
CENTRAL,114,Mid,0.027073702166841376,1,0
CENTRAL,115,Beg,0.02661736643651924,1,0
CENTRAL,115,End,0.025726644609077896,1,0
CENTRAL,115,Mid,0.026168215964064663,1,0
CENTRAL,116,Beg,0.025726644609077896,1,0
CENTRAL,116,End,0.024864767460561894,1,0
CENTRAL,116,Mid,0.025292035025779164,1,0
CENTRAL,117,Beg,0.024864767460561894,1,0
CENTRAL,117,End,0.02405808408136733,1,0
CENTRAL,117,Mid,0.024458100217102808,1,0
CENTRAL,118,Beg,0.02405808408136733,1,0
CENTRAL,118,End,0.023250530909866608,1,0
CENTRAL,118,Mid,0.023650861032233073,1,0
CENTRAL,119,Beg,0.023250530909866608,1,0
CENTRAL,119,End,0.02246921513078586,1,0
CENTRAL,119,Mid,0.022856534753080554,1,0
CENTRAL,120,Beg,0.02246921513078586,1,0
CENTRAL,120,End,0.021713314539402652,1,0
CENTRAL,120,Mid,0.02208803150097941,1,0
CENTRAL,121,Beg,0.021713314539402652,1,0
CENTRAL,121,End,0.020982031672373596,1,0
CENTRAL,121,Mid,0.021344541535904597,1,0
CENTRAL,122,Beg,0.020982031672373596,1,0
CENTRAL,122,End,0.020298564488934637,1,0
CENTRAL,122,Mid,0.020637468909983716,1,0
CENTRAL,123,Beg,0.020298564488934637,1,0
CENTRAL,123,End,0.019613600501187878,1,0
CENTRAL,123,Mid,0.019953143477496542,1,0
CENTRAL,124,Beg,0.019613600501187878,1,0
CENTRAL,124,End,0.018973790273416908,1,0
CENTRAL,124,Mid,0.019291043061901124,1,0
CENTRAL,125,Beg,0.018973790273416908,1,0
CENTRAL,125,End,0.018332288416207234,1,0
CENTRAL,125,Mid,0.01865028138235202,1,0
CENTRAL,126,Beg,0.018332288416207234,1,0
CENTRAL,126,End,0.017711790322475385,1,0
CENTRAL,126,Mid,0.018019368705895523,1,0
CENTRAL,127,Beg,0.017711790322475385,1,0
CENTRAL,127,End,0.017132692049833212,1,0
CENTRAL,127,Mid,0.017419834937397852,1,0
CENTRAL,128,Beg,0.017132692049833212,1,0
CENTRAL,128,End,0.01655167606075227,1,0
CENTRAL,128,Mid,0.016839678407186556,1,0
CENTRAL,129,Beg,0.01655167606075227,1,0
CENTRAL,129,End,0.016009733766660126,1,0
CENTRAL,129,Mid,0.01627844977645739,1,0
CENTRAL,130,Beg,0.016009733766660126,1,0
CENTRAL,130,End,0.015465752957647934,1,0
CENTRAL,130,Mid,0.015735392824867127,1,0
CENTRAL,131,Beg,0.015465752957647934,1,0
CENTRAL,131,End,0.014958642632006912,1,0
CENTRAL,131,Mid,0.015210084533899191,1,0
CENTRAL,132,Beg,0.014958642632006912,1,0
CENTRAL,132,End,0.014449397431723006,1,0
CENTRAL,132,Mid,0.014701815276658285,1,0
CENTRAL,133,Beg,0.014449397431723006,1,0
CENTRAL,133,End,0.01397493645438773,1,0
CENTRAL,133,Mid,0.014210186871133054,1,0
CENTRAL,134,Beg,0.01397493645438773,1,0
CENTRAL,134,End,0.013515793288072168,1,0
CENTRAL,134,Mid,0.013743447614461547,1,0
CENTRAL,135,Beg,0.013515793288072168,1,0
CENTRAL,135,End,0.013054404843650122,1,0
CENTRAL,135,Mid,0.013283095925483001,1,0
CENTRAL,136,Beg,0.013054404843650122,1,0
CENTRAL,136,End,0.012624894698059358,1,0
CENTRAL,136,Mid,0.012837853656157592,1,0
CENTRAL,137,Beg,0.012624894698059358,1,0
CENTRAL,137,End,0.012209279794718825,1,0
CENTRAL,137,Mid,0.01241534823303273,1,0
CENTRAL,138,Beg,0.012209279794718825,1,0
CENTRAL,138,End,0.011791351099314682,1,0
CENTRAL,138,Mid,0.011998495936128761,1,0
CENTRAL,139,Beg,0.011791351099314682,1,0
CENTRAL,139,End,0.01140262501780726,1,0
CENTRAL,139,Mid,0.01159535920266357,1,0
CENTRAL,140,Beg,0.01140262501780726,1,0
CENTRAL,140,End,0.01102650068582245,1,0
CENTRAL,140,Mid,0.01121298589043204,1,0
CENTRAL,141,Beg,0.01102650068582245,1,0
CENTRAL,141,End,0.010648028992381004,1,0
CENTRAL,141,Mid,0.01083561253400778,1,0
CENTRAL,142,Beg,0.010648028992381004,1,0
CENTRAL,142,End,0.010296297484933615,1,0
CENTRAL,142,Mid,0.010470686421326576,1,0
CENTRAL,143,Beg,0.010296297484933615,1,0
CENTRAL,143,End,0.00995599188991165,1,0
CENTRAL,143,Mid,0.0101247150209829,1,0
CENTRAL,144,Beg,0.00995599188991165,1,0
CENTRAL,144,End,0.009626747522935094,1,0
CENTRAL,144,Mid,0.00978998571319534,1,0
CENTRAL,145,Beg,0.009626747522935094,1,0
CENTRAL,145,End,0.009308211124485244,1,0
CENTRAL,145,Mid,0.009466139571419556,1,0
CENTRAL,146,Beg,0.009308211124485244,1,0
CENTRAL,146,End,0.00898732668305255,1,0
CENTRAL,146,Mid,0.009146361801862684,1,0
CENTRAL,147,Beg,0.00898732668305255,1,0
CENTRAL,147,End,0.008689527541388267,1,0
CENTRAL,147,Mid,0.008837172779562408,1,0
CENTRAL,148,Beg,0.008689527541388267,1,0
CENTRAL,148,End,0.008401433532631356,1,0
CENTRAL,148,Mid,0.008544266385649682,1,0
CENTRAL,149,Beg,0.008401433532631356,1,0
CENTRAL,149,End,0.008122733858310588,1,0
CENTRAL,149,Mid,0.008260908461776503,1,0
CENTRAL,150,Beg,0.008122733858310588,1,0
CENTRAL,150,End,0.007853127490582585,1,0
CENTRAL,150,Mid,0.0079867931337543,1,0
CENTRAL,0,Beg,1.0,1,1
CENTRAL,0,End,1.0,1,1
CENTRAL,0,Mid,1.0,1,1
CENTRAL,1,Beg,1.0,1,1
CENTRAL,1,End,0.9669857783309894,1,1
CENTRAL,1,Mid,0.9833543503391793,1,1
CENTRAL,2,Beg,0.9669857783309894,1,1
CENTRAL,2,End,0.9386457562536209,1,1
CENTRAL,2,Mid,0.952710395234558,1,1
CENTRAL,3,Beg,0.9386457562536209,1,1
CENTRAL,3,End,0.9113140696997145,1,1
CENTRAL,3,Mid,0.9248789564790917,1,1
CENTRAL,4,Beg,0.9113140696997145,1,1
CENTRAL,4,End,0.8843670283348081,1,1
CENTRAL,4,Mid,0.8977394475570496,1,1
CENTRAL,5,Beg,0.8843670283348081,1,1
CENTRAL,5,End,0.8585665528711449,1,1
CENTRAL,5,Mid,0.871371304892647,1,1
CENTRAL,6,Beg,0.8585665528711449,1,1
CENTRAL,6,End,0.833745341252191,1,1
CENTRAL,6,Mid,0.8460649287207631,1,1
CENTRAL,7,Beg,0.833745341252191,1,1
CENTRAL,7,End,0.8090608400901859,1,1
CENTRAL,7,Mid,0.8213103592520773,1,1
CENTRAL,8,Beg,0.8090608400901859,1,1
CENTRAL,8,End,0.7847036284996011,1,1
CENTRAL,8,Mid,0.7967891671550915,1,1
CENTRAL,9,Beg,0.7847036284996011,1,1
CENTRAL,9,End,0.7609025437807403,1,1
CENTRAL,9,Mid,0.7727114513447587,1,1
CENTRAL,10,Beg,0.7609025437807403,1,1
CENTRAL,10,End,0.7374513393339935,1,1
CENTRAL,10,Mid,0.7490851754064751,1,1
CENTRAL,11,Beg,0.7374513393339935,1,1
CENTRAL,11,End,0.7165276989742105,1,1
CENTRAL,11,Mid,0.7269142392871638,1,1
CENTRAL,12,Beg,0.7165276989742105,1,1
CENTRAL,12,End,0.6963127088842151,1,1
CENTRAL,12,Mid,0.7063478909597636,1,1
CENTRAL,13,Beg,0.6963127088842151,1,1
CENTRAL,13,End,0.6772199428254042,1,1
CENTRAL,13,Mid,0.6866999729861437,1,1
CENTRAL,14,Beg,0.6772199428254042,1,1
CENTRAL,14,End,0.6601293402201781,1,1
CENTRAL,14,Mid,0.6686200371221915,1,1
CENTRAL,15,Beg,0.6601293402201781,1,1
CENTRAL,15,End,0.6455611055979299,1,1
CENTRAL,15,Mid,0.6528045853930333,1,1
CENTRAL,16,Beg,0.6455611055979299,1,1
CENTRAL,16,End,0.6329500169160303,1,1
CENTRAL,16,Mid,0.639224461913451,1,1
CENTRAL,17,Beg,0.6329500169160303,1,1
CENTRAL,17,End,0.6211798033242059,1,1
CENTRAL,17,Mid,0.6270372931668039,1,1
CENTRAL,18,Beg,0.6211798033242059,1,1
CENTRAL,18,End,0.6097441585383979,1,1
CENTRAL,18,Mid,0.6154354202342969,1,1
CENTRAL,19,Beg,0.6097441585383979,1,1
CENTRAL,19,End,0.5979627841544096,1,1
CENTRAL,19,Mid,0.6038247383649565,1,1
CENTRAL,20,Beg,0.5979627841544096,1,1
CENTRAL,20,End,0.5854526231929224,1,1
CENTRAL,20,Mid,0.591674640790817,1,1
CENTRAL,21,Beg,0.5854526231929224,1,1
CENTRAL,21,End,0.572312901390229,1,1
CENTRAL,21,Mid,0.5788454797319071,1,1
CENTRAL,22,Beg,0.572312901390229,1,1
CENTRAL,22,End,0.5586846039208726,1,1
CENTRAL,22,Mid,0.5654576965892368,1,1
CENTRAL,23,Beg,0.5586846039208726,1,1
CENTRAL,23,End,0.5447440762234624,1,1
CENTRAL,23,Mid,0.5516703077592149,1,1
CENTRAL,24,Beg,0.5447440762234624,1,1
CENTRAL,24,End,0.5306964784373454,1,1
CENTRAL,24,Mid,0.5376744023118418,1,1
CENTRAL,25,Beg,0.5306964784373454,1,1
CENTRAL,25,End,0.516377191797801,1,1
CENTRAL,25,Mid,0.5234878768724818,1,1
CENTRAL,26,Beg,0.516377191797801,1,1
CENTRAL,26,End,0.502150829560932,1,1
CENTRAL,26,Mid,0.5092143313258282,1,1
CENTRAL,27,Beg,0.502150829560932,1,1
CENTRAL,27,End,0.48786973252202787,1,1
CENTRAL,27,Mid,0.4949587769740085,1,1
CENTRAL,28,Beg,0.48786973252202787,1,1
CENTRAL,28,End,0.4737872570731468,1,1
CENTRAL,28,Mid,0.4807769361987131,1,1
CENTRAL,29,Beg,0.4737872570731468,1,1
CENTRAL,29,End,0.45989643537850394,1,1
CENTRAL,29,Mid,0.46679017840535064,1,1
CENTRAL,30,Beg,0.45989643537850394,1,1
CENTRAL,30,End,0.4460568414472038,1,1
CENTRAL,30,Mid,0.45292378095852237,1,1
CENTRAL,31,Beg,0.4460568414472038,1,1
CENTRAL,31,End,0.43266757652496485,1,1
CENTRAL,31,Mid,0.4393112024309671,1,1
CENTRAL,32,Beg,0.43266757652496485,1,1
