cd_choc_s2,scenario,period,evenement,cd_societe,cd_canton,cd_classe_actif,mt_vm_av,mt_vm,mt_vc_av,mt_vc,mt_pfi,mt_cf,mt_pdd,mt_fuite_eco,mt_fuite_vc
CENTRAL,1,23,1.Perf,ACCENTURE,C00001,IMMOBILIER,6240357.733198876,6392582.174156045,2445624.999999997,2445624.999999997,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,23,2.StratInv,ACCENTURE,C00001,ACTION,9588873.261234066,9588873.261234066,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,23,2.StratInv,ACCENTURE,C00001,IMMOBILIER,6392582.174156045,6392582.174156045,2445624.999999997,2445624.999999997,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,24,1.Perf,ACCENTURE,C00001,IMMOBILIER,6392582.174156045,6556174.5338464985,2445624.999999997,2445624.999999997,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,24,1.Perf,ACCENTURE,C00001,ACTION,9588873.261234066,9834261.800769746,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,24,2.StratInv,ACCENTURE,C00001,ACTION,9834261.800769746,9834261.800769746,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,24,2.StratInv,ACCENTURE,C00001,IMMOBILIER,6556174.5338464985,6556174.533846498,2445624.999999997,2445624.9999999967,0.0,9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,25,1.Perf,ACCENTURE,C00001,IMMOBILIER,6556174.533846498,6729717.239722834,2445624.9999999967,2445624.9999999967,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,25,1.Perf,ACCENTURE,C00001,ACTION,9834261.800769746,10094575.859584251,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,25,2.StratInv,ACCENTURE,C00001,ACTION,10094575.859584251,10094575.859584251,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,25,2.StratInv,ACCENTURE,C00001,IMMOBILIER,6729717.239722834,6729717.239722836,2445624.9999999967,2445624.999999997,0.0,-1.862645149230957e-9,0.0,0.0,0.0
CENTRAL,1,26,1.Perf,ACCENTURE,C00001,IMMOBILIER,6729717.239722836,6916334.216013316,2445624.999999997,2445624.999999997,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,26,1.Perf,ACCENTURE,C00001,ACTION,10094575.859584251,10374501.324019972,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,26,2.StratInv,ACCENTURE,C00001,IMMOBILIER,6916334.216013316,6916334.216013316,2445624.999999997,2445624.999999997,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,26,2.StratInv,ACCENTURE,C00001,ACTION,10374501.324019972,10374501.324019972,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,27,1.Perf,ACCENTURE,C00001,IMMOBILIER,6916334.216013316,7112279.876392471,2445624.999999997,2445624.999999997,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,27,1.Perf,ACCENTURE,C00001,ACTION,10374501.324019972,10668419.814588703,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,27,2.StratInv,ACCENTURE,C00001,ACTION,10668419.814588703,10668419.814588703,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,27,2.StratInv,ACCENTURE,C00001,IMMOBILIER,7112279.876392471,7112279.876392469,2445624.999999997,2445624.9999999967,0.0,1.862645149230957e-9,0.0,0.0,0.0
CENTRAL,1,28,1.Perf,ACCENTURE,C00001,IMMOBILIER,7112279.876392469,7320473.072878622,2445624.9999999967,2445624.9999999967,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,28,1.Perf,ACCENTURE,C00001,ACTION,10668419.814588703,10980709.609317934,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,28,2.StratInv,ACCENTURE,C00001,ACTION,10980709.609317934,10980709.609317934,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,28,2.StratInv,ACCENTURE,C00001,IMMOBILIER,7320473.072878622,7320473.072878624,2445624.9999999967,2445624.999999997,0.0,-1.862645149230957e-9,0.0,0.0,0.0
CENTRAL,1,29,1.Perf,ACCENTURE,C00001,ACTION,10980709.609317934,11307091.484676475,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,29,1.Perf,ACCENTURE,C00001,IMMOBILIER,7320473.072878624,7538060.989784318,2445624.999999997,2445624.999999997,0.0,0.0,0.0,0.0,0.0
