cd_choc_s2,cd_choc_s2_gse,scenario,period,intraperiod,cd_societe,cd_canton,cd_type_flux,mt_cf
CENTRAL,CENTRAL,1,20,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-168785.82451604377
CENTRAL,CENTRAL,1,20,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9948.135549651024
CENTRAL,CENTRAL,1,20,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-3444.6086635927345
CENTRAL,CENTRAL,1,20,Beg,ACCENTURE,C00001,mt_fgse_uc,-108244.0558741923
CENTRAL,CENTRAL,1,21,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,21,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-535081.0679765487
CENTRAL,CENTRAL,1,21,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,21,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-10920.021795439769
CENTRAL,CENTRAL,1,21,Beg,ACCENTURE,C00001,mt_fgse_eu,-214029.99563545117
CENTRAL,CENTRAL,1,21,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-487659.6267238728
CENTRAL,CENTRAL,1,21,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-190147.15553717533
CENTRAL,CENTRAL,1,21,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9952.237280079036
CENTRAL,CENTRAL,1,21,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-3880.5541946362346
CENTRAL,CENTRAL,1,21,Beg,ACCENTURE,C00001,mt_fgse_uc,-108117.66561294373
CENTRAL,CENTRAL,1,22,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,22,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-601640.3595775134
CENTRAL,CENTRAL,1,22,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,22,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-12278.374685255372
CENTRAL,CENTRAL,1,22,Beg,ACCENTURE,C00001,mt_fgse_eu,-213570.12062838246
CENTRAL,CENTRAL,1,22,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-487851.4598880573
CENTRAL,CENTRAL,1,22,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-213883.26010085715
CENTRAL,CENTRAL,1,22,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9956.152242613409
CENTRAL,CENTRAL,1,22,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-4364.964491854226
CENTRAL,CENTRAL,1,22,Beg,ACCENTURE,C00001,mt_fgse_uc,-107970.2942145408
CENTRAL,CENTRAL,1,23,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,23,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-686761.257063511
CENTRAL,CENTRAL,1,23,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,23,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-14015.535858439003
CENTRAL,CENTRAL,1,23,Beg,ACCENTURE,C00001,mt_fgse_eu,-212978.64543605375
CENTRAL,CENTRAL,1,23,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-488024.40678720287
CENTRAL,CENTRAL,1,23,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-244229.95889646246
CENTRAL,CENTRAL,1,23,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9959.681771167403
CENTRAL,CENTRAL,1,23,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-4984.284875438008
CENTRAL,CENTRAL,1,23,Beg,ACCENTURE,C00001,mt_fgse_uc,-107747.65252326023
CENTRAL,CENTRAL,1,24,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,24,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-771883.2702581342
CENTRAL,CENTRAL,1,24,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,24,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-15752.719801186413
CENTRAL,CENTRAL,1,24,Beg,ACCENTURE,C00001,mt_fgse_eu,-212391.6912377655
CENTRAL,CENTRAL,1,24,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-488168.71797585435
CENTRAL,CENTRAL,1,24,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-274582.2838619703
CENTRAL,CENTRAL,1,24,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9962.62689746641
CENTRAL,CENTRAL,1,24,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-5603.720078815722
CENTRAL,CENTRAL,1,24,Beg,ACCENTURE,C00001,mt_fgse_uc,-107514.30610467098
