cd_table,cd_trajectoire,dt_trajectoire,scenario,cd_choc_s2_gse,cd_classe_actif,period,tx_perf_tot,tx_dividendes
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,ACTION,45,0.076192,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,ACTION,46,0.0715945,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,ACTION,47,0.0750624,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,ACTION,48,0.0700901,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,ACTION,49,0.0741282,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,ACTION,50,0.0770628,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,0,1,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,1,0.026718,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,2,0.0290653,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,3,0.0254608,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,4,0.0253438,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,5,0.026296,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,6,0.0265078,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,7,0.0266653,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,8,0.0283449,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,9,0.0295404,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,10,0.0307274,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,11,0.0325707,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,12,0.0308672,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,13,0.0317266,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,14,0.0324657,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,15,0.030106,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,16,0.0291579,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,17,0.0278191,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,18,0.0279813,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,19,0.0297453,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,20,0.032487,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,21,0.0355972,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,22,0.0395648,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,23,0.0428992,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,24,0.0456447,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,25,0.047739,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,26,0.0509053,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,27,0.0547893,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,28,0.0571538,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,29,0.0605365,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,30,0.0622596,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,31,0.0643647,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,32,0.0672288,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,33,0.070227,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,34,0.0716908,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,35,0.075867,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,36,0.0764777,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,37,0.078164,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,38,0.0825257,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,39,0.0825293,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,40,0.0862287,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,41,0.0891268,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,42,0.0913341,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,43,0.0926248,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,44,0.0954996,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,45,0.099821,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,46,0.0991213,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,47,0.1030988,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,48,0.103671,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,49,0.105543,0
gse_2212_ssva,reel,2022-12-31,1,RATES_UP,IMMOBILIER,50,0.1086546,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,0,1,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,1,0.0037257,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,2,0.0061993,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,3,0.0023592,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,4,0.0027551,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,5,0.0037071,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,6,0.0028797,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,7,0.0040615,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,8,0.006546,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,9,0.0067175,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,10,0.0088442,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,11,0.005245,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,12,0.0095079,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,13,0.0102198,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,14,0.0085261,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,15,0.0038014,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,16,-0.000226,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,17,0.0109214,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,18,0.0032984,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,19,0.0002854,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,20,0.0070811,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,21,0.0158074,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,22,0.0110505,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,23,0.0184843,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,24,0.0225383,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,25,0.0365789,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,26,0.0289029,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,27,0.0397553,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,28,0.0329441,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,29,0.04028,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,30,0.0379809,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,31,0.0415427,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,32,0.0448841,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,33,0.0553285,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,34,0.0412777,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,35,0.0531129,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,36,0.0560302,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,37,0.0581406,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,38,0.0408173,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,39,0.0600859,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,40,0.0554533,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,41,0.0627254,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,42,0.0658888,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,43,0.0852167,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,44,0.0719671,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,45,0.076192,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,46,0.0715945,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,47,0.0750624,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,48,0.0700901,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,49,0.0741282,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,ACTION,50,0.0770628,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,0,1,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,1,0.026718,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,2,0.0290653,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,3,0.0254608,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,4,0.0253438,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,5,0.026296,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,6,0.0265078,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,7,0.0266653,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,8,0.0283449,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,9,0.0295404,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,10,0.0307274,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,11,0.0325707,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,12,0.0308672,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,13,0.0317266,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,14,0.0324657,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,15,0.030106,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,16,0.0291579,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,17,0.0278191,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,18,0.0279813,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,19,0.0297453,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,20,0.032487,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,21,0.0355972,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,22,0.0395648,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,23,0.0428992,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,24,0.0456447,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,25,0.047739,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,26,0.0509053,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,27,0.0547893,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,28,0.0571538,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,29,0.0605365,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,30,0.0622596,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,31,0.0643647,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,32,0.0672288,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,33,0.070227,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,34,0.0716908,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,35,0.075867,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,36,0.0764777,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,37,0.078164,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,38,0.0825257,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,39,0.0825293,0
gse_2212_ssva,reel,2022-12-31,1,RATES_DOWN,IMMOBILIER,40,0.0862287,0
