cd_table,generation,age,sexe,qx
TGHTGF05,1911,117,F,1
TGHTGF05,1911,118,F,0
TGHTGF05,1911,119,F,0
TGHTGF05,1911,120,F,0
TGHTGF05,1912,84,F,0.04883
TGHTGF05,1912,85,F,0.055226721
TGHTGF05,1912,86,F,0.062505564
TGHTGF05,1912,87,F,0.070483222
TGHTGF05,1912,88,F,0.08092301
TGHTGF05,1912,89,F,0.090590785
TGHTGF05,1912,90,F,0.102487319
TGHTGF05,1912,91,F,0.113866948
TGHTGF05,1912,92,F,0.128902123
TGHTGF05,1912,93,F,0.141956114
TGHTGF05,1912,94,F,0.155649224
TGHTGF05,1912,95,F,0.17000487
TGHTGF05,1912,96,F,0.185022188
TGHTGF05,1912,97,F,0.200657007
TGHTGF05,1912,98,F,0.216911558
TGHTGF05,1912,99,F,0.233860532
TGHTGF05,1912,100,F,0.251290232
TGHTGF05,1912,101,F,0.269457325
TGHTGF05,1912,102,F,0.288214102
TGHTGF05,1912,103,F,0.307543987
TGHTGF05,1912,104,F,0.327532196
TGHTGF05,1912,105,F,0.347826087
TGHTGF05,1912,106,F,0.369047619
TGHTGF05,1912,107,F,0.389937107
TGHTGF05,1912,108,F,0.412371134
TGHTGF05,1912,109,F,0.435087719
TGHTGF05,1912,110,F,0.459627329
TGHTGF05,1912,111,F,0.482758621
TGHTGF05,1912,112,F,0.511111111
TGHTGF05,1912,113,F,0.545454545
TGHTGF05,1912,114,F,0.5
TGHTGF05,1912,115,F,0.6
TGHTGF05,1912,116,F,0.5
TGHTGF05,1912,117,F,1
TGHTGF05,1912,118,F,0
TGHTGF05,1912,119,F,0
TGHTGF05,1912,120,F,0
TGHTGF05,1913,83,F,0.04236
TGHTGF05,1913,84,F,0.048389792
TGHTGF05,1913,85,F,0.054756941
TGHTGF05,1913,86,F,0.061992106
TGHTGF05,1913,87,F,0.069938119
TGHTGF05,1913,88,F,0.08032043
TGHTGF05,1913,89,F,0.089968602
TGHTGF05,1913,90,F,0.101820494
TGHTGF05,1913,91,F,0.113168469
TGHTGF05,1913,92,F,0.128128867
TGHTGF05,1913,93,F,0.141051764
TGHTGF05,1913,94,F,0.15464577
TGHTGF05,1913,95,F,0.168905284
TGHTGF05,1913,96,F,0.183770249
TGHTGF05,1913,97,F,0.199349291
TGHTGF05,1913,98,F,0.215430164
TGHTGF05,1913,99,F,0.232260451
TGHTGF05,1913,100,F,0.249710871
TGHTGF05,1913,101,F,0.267565832
TGHTGF05,1913,102,F,0.286215363
TGHTGF05,1913,103,F,0.305405405
TGHTGF05,1913,104,F,0.325433322
TGHTGF05,1913,105,F,0.345568956
TGHTGF05,1913,106,F,0.366185897
TGHTGF05,1913,107,F,0.388116308
TGHTGF05,1913,108,F,0.409090909
TGHTGF05,1913,109,F,0.433566434
TGHTGF05,1913,110,F,0.456790123
TGHTGF05,1913,111,F,0.477272727
TGHTGF05,1913,112,F,0.5
TGHTGF05,1913,113,F,0.52173913
TGHTGF05,1913,114,F,0.545454545
TGHTGF05,1913,115,F,0.6
TGHTGF05,1913,116,F,0.5
TGHTGF05,1913,117,F,1
TGHTGF05,1913,118,F,0
TGHTGF05,1913,119,F,0
TGHTGF05,1913,120,F,0
TGHTGF05,1914,82,F,0.03661
TGHTGF05,1914,83,F,0.04197677
TGHTGF05,1914,84,F,0.047954927
TGHTGF05,1914,85,F,0.054285357
TGHTGF05,1914,86,F,0.061480884
TGHTGF05,1914,87,F,0.06938069
TGHTGF05,1914,88,F,0.079747585
TGHTGF05,1914,89,F,0.089338384
TGHTGF05,1914,90,F,0.101160726
TGHTGF05,1914,91,F,0.112436209
TGHTGF05,1914,92,F,0.127277224
TGHTGF05,1914,93,F,0.140101067
TGHTGF05,1914,94,F,0.153590553
TGHTGF05,1914,95,F,0.16773733
TGHTGF05,1914,96,F,0.182480898
TGHTGF05,1914,97,F,0.197940012
TGHTGF05,1914,98,F,0.213971463
TGHTGF05,1914,99,F,0.230617956
TGHTGF05,1914,100,F,0.247935509
TGHTGF05,1914,101,F,0.265751634
TGHTGF05,1914,102,F,0.284315471
TGHTGF05,1914,103,F,0.303233831
TGHTGF05,1914,104,F,0.322741878
TGHTGF05,1914,105,F,0.343173432
TGHTGF05,1914,106,F,0.363563403
TGHTGF05,1914,107,F,0.385876419
TGHTGF05,1914,108,F,0.406570842
TGHTGF05,1914,109,F,0.429065744
TGHTGF05,1914,110,F,0.454545455
TGHTGF05,1914,111,F,0.477777778
TGHTGF05,1914,112,F,0.489361702
TGHTGF05,1914,113,F,0.541666667
TGHTGF05,1914,114,F,0.545454545
TGHTGF05,1914,115,F,0.6
TGHTGF05,1914,116,F,0.5
TGHTGF05,1914,117,F,1
TGHTGF05,1914,118,F,0
TGHTGF05,1914,119,F,0
TGHTGF05,1914,120,F,0
TGHTGF05,1915,81,F,0.03154
TGHTGF05,1915,82,F,0.036263759
TGHTGF05,1915,83,F,0.04159256
TGHTGF05,1915,84,F,0.047522694
TGHTGF05,1915,85,F,0.053813922
TGHTGF05,1915,86,F,0.060980451
TGHTGF05,1915,87,F,0.068837517
TGHTGF05,1915,88,F,0.079161288
TGHTGF05,1915,89,F,0.088724214
TGHTGF05,1915,90,F,0.100456467
TGHTGF05,1915,91,F,0.111656142
TGHTGF05,1915,92,F,0.126367233
TGHTGF05,1915,93,F,0.139100111
TGHTGF05,1915,94,F,0.152461322
TGHTGF05,1915,95,F,0.166511782
TGHTGF05,1915,96,F,0.181141242
TGHTGF05,1915,97,F,0.196459833
TGHTGF05,1915,98,F,0.212418301
TGHTGF05,1915,99,F,0.228907331
TGHTGF05,1915,100,F,0.246138515
TGHTGF05,1915,101,F,0.263846662
